id,title,subscriber_count,total_views,video_count
1,서울시립대학교 University Of Seoul,7180,1213604,535
2,고려대학교 Korea University,24100,4338472,2471
3,동국대학교DONGGUK UNIVERSITY,8840,2082583,590
4,덕성여자대학교,3750,323975,134
5,한국외국어대학교 HUFS,12700,3473856,636
6,Hanyang University한양대학교,16500,5001338,1421
7,서울과학기술대학교,14200,19716258,698
8,경희대학교 Kyung Hee University,15300,3959925,746
9,성균관대학교SKKU,23400,3739209,1259
10,ewhauniv,46500,12411456,2105
11,중앙대학교,10700,2564944,503
12,동덕여자대학교 - Dongduk Women's University,5870,3116918,776
13,Sookmyung Women's University 숙명여자대학교,10200,3053284,716
14,홍익대학교 _ Hongik University,3630,508673,167
15,단국대학교,13600,3062917,653
16,건국대학교Konkuk University,19400,5392312,1104
17,Yonsei University연세대학교,47900,13851527,1010
18,서울대학교 Seoul National University,183000,17953769,290
19,숭실대학교 Soongsil University,4540,9026165,624
20,"서울여자대학교, Seoul Women's University (Official)",3840,1872564,447
21,MYONGJI UNIVERSITY명지대학교,6660,2176652,656
22,국민대학교,6290,4167808,413
23,세종대학교,7280,1918486,980
24,성신여자대학교 Sungshin Women's University,7480,905953,340
25,상명대학교,3200,1338728,545
