id,title,like_count,view_count,comment_count,duration,upload_date,has_caption,url,channel_id,transcript
1,잠깐만 교수님! | [투명 망토가 진짜로 있다고요?] | SNS 홍보대사 시:선,5,181,1,1분 43초,2024-10-02 9:30,1,https://www.youtube.com/watch?v=OsruAvEiK3U,1,
2,2024 서울시립대학교 인향제 : 인향만리 스케치 영상 | SNS 홍보대사 시:선,13,417,0,1분 44초,2024-10-01 9:45,1,https://www.youtube.com/watch?v=mxJDZ1LrErc,1,
3,[우리 같이 교환학생 갈래? 국제처 홍보대사와 함께 알아보는 교환학생 프로그램 | 서울시립대학교 홍보대사 이루미],25,440,0,4분 41초,2024-09-27 5:00,1,https://www.youtube.com/watch?v=b4AP89Ek-q4,1,
4,[시립대 후원의 집 가봄? | 서울시립대학교 홍보대사 이루미],31,1342,0,6분 3초,2024-09-16 5:00,1,https://www.youtube.com/watch?v=rJ3C94OxW84,1,
5,[시대클라쓰] 신상 공개로 정의구현! 범죄인가요? | 이상경 교수 | 법학전문대학원 | 홍보대사 이루미,15,233,0,7분 25초,2024-09-05 8:30,1,https://www.youtube.com/watch?v=ob2YGKythCE,1,
6,[시대클라쓰] 도시 전체가 경기장?🏅파리올림픽에 숨겨진 도시적 의미 이 영상 하나로 끝! | 김충호교수 | 도시공학과 | 홍보대사 이루미,17,479,2,7분 19초,2024-08-28 0:21,1,https://www.youtube.com/watch?v=Ax0e_J40AcY,1,
7,"21학번이 화석이라고..?"" | 새내기 사이 화석 찾기 | SNS 홍보대사 시:선""",25,1038,8,17분 6초,2024-08-27 9:00,1,https://www.youtube.com/watch?v=xekDT-DSFLQ,1,
8,[시립대 홍보대사의 1학기 활동 결산 | 홍보대사 이루미],10,517,0,2분 16초,2024-08-27 6:00,1,https://www.youtube.com/watch?v=rMKk57pd5sc,1,
9,새로운 서버✨에서 첫 수강신청 | 서울시립대학교 SNS 홍보대사의 수강신청 Vlog | 과연 결과는 ⁉ | SNS 홍보대사 시:선,12,779,1,4분 5초,2024-08-19 14:33,1,https://www.youtube.com/watch?v=lpKMFIA_mik,1,
10,서울시립대학교 홍보대사가 고등학교에? 직접 찾아 가는 지금 이루미가 갑니다!| 홍보대사 이루미,22,1082,1,7분 53초,2024-08-01 5:00,1,https://www.youtube.com/watch?v=CnyHmt0BRBY,1,
11,잠깐만! | [서울시립대학교의 3대 바보에 대해 들어봤어?] | SNS 홍보대사 시:선,43,3236,5,1분 4초,2024-07-17 4:48,1,https://www.youtube.com/watch?v=x47ZMK8LwO8,1,
12,Who's in UOS ep.3 | 서울시립대  검도부 | SNS 홍보대사 시:선,23,863,3,2분 35초,2024-07-12 9:00,1,https://www.youtube.com/watch?v=chvjWdVETIs,1,
13,잠깐만! | [왜 서울시립대학교에는 드라마 촬영지가 많을까?] | SNS홍보대사 시:선,45,2316,8,1분 25초,2024-07-10 8:12,1,https://www.youtube.com/watch?v=UQqkL3ClWx8,1,
14,2024년 서울시립대 대동제 AFTERMOVIE,29,1645,2,2분 8초,2024-06-28 9:00,1,https://www.youtube.com/watch?v=rQVKcc7OAOE,1,
15,캠퍼스 전체가 평지라고?! 예쁘기로 유명한 서울시립대 캠퍼스 투어 vlog | 홍보대사 이루미,43,2315,2,5분 44초,2024-06-28 5:00,1,https://www.youtube.com/watch?v=c9X_W4OXwPM,1,
16,"2024 서울시립대학교 응원가 시대 곁에 영원히: You are my star"" MV 공개""",80,2880,3,3분 57초,2024-06-26 9:00,1,https://www.youtube.com/watch?v=J45gp9Ggl5c,1,
17,🫧대학 축제 vlog | univ. of seoul | 홍보대사와 함께 캠퍼스 낭만 즐기기 | 홍보대사 이루미,47,2668,7,11분 20초,2024-06-17 9:05,1,https://www.youtube.com/watch?v=9q12ZSudtC0,1,
18,학생들이 직접 학교의 프로그램을 만든다고? 학생기획평가단 한눈에 알아보기 | 홍보대사 이루미,18,537,4,11분 44초,2024-06-07 5:07,1,https://www.youtube.com/watch?v=xxfLgZS7jdU,1,
19,인간과 환경의 공존을 고민하던 대학생에서 아시아산림협력기구 팀장까지 | 시립대의 천재들 ep. 12 | 아시아사무협력기구 팀장 양수진 (환경원예 01) | SNS홍보대사 시:선,9,260,0,10분 16초,2024-06-03 6:47,1,https://www.youtube.com/watch?v=_CWvo4xRxnc,1,
20,[JBS 예능] 척척 총장님의 1일 대학생 소비 체험! 💸경제학부💰 | 렛츠고! 전공탐험대 ep.3,13,736,3,15분 14초,2024-05-31 3:00,1,https://www.youtube.com/watch?v=hKtjwp78Rko,1,
21,[중앙동아리 궁금해? 하루동아리 3개 챌린지💫]| 홍보대사 이루미,25,970,0,13분 23초,2024-05-21 5:00,1,https://www.youtube.com/watch?v=yyQ_8Q3gRSY,1,
22,Who's in UOS ep.2 | 서울시립대 야생조류연구회 GAIA | SNS 홍보대사 시:선,23,543,1,3분 5초,2024-05-13 9:30,1,https://www.youtube.com/watch?v=h8DbbY3lIPk,1,
23,서울시립대학교 학생 해외탐방 프로그램 소개,16,1012,5,2분 52초,2024-05-10 1:10,1,https://www.youtube.com/watch?v=MrDaxM4ONs4,1,
24,새내기는 꼭 알아야 할 밥약 꿀팁 3가지 | 후배와 함께하는 밥약 vlog | 홍보대사 이루미,37,1388,4,4분 16초,2024-05-07 6:00,1,https://www.youtube.com/watch?v=1Uu-7WvBdXk,1,
25,[JBS 예능] 시립대의 밤샘황을 정해라! 🤜건축학과 VS 도시공학과🤛 | 렛츠고! 전공탐험대 ep.2,11,1226,0,17분 54초,2024-05-02 1:54,1,https://www.youtube.com/watch?v=Eb9Bs_oiQEY,1,
26,[JBS 예능] 스포츠과학과는 어서 나와 도전장을 받으라!💪 | 렛츠고! 전공탐험대 ep.1,7,419,0,15분 52초,2024-05-02 1:48,1,https://www.youtube.com/watch?v=BMsltB8ycIk,1,
27,서울시립대학교 공식 홍보대사 이루미 19기 소개영상💙 | 서울시립대학교 홍보대사 이루미,68,3728,5,2분 33초,2024-04-15 6:00,1,https://www.youtube.com/watch?v=Xv3gOqWaX9s,1,
28,Who's in UOS ep.1 | 서울시립대 중앙 스트릿 댄스 동아리 RAH | SNS 홍보대사 시:선,30,1107,1,2분 52초,2024-04-02 10:00,1,https://www.youtube.com/watch?v=aOc9to1C4gA,1,
29,교수님 브이로그 ep.1 건축학부 조준희 교수님 | 교수님 밀착취재 | SNS 홍보대사 시:선,47,1520,3,11분 31초,2024-03-26 13:30,1,https://www.youtube.com/watch?v=fE_qTXxph9Y,1,
30,시립대 캠퍼스에서 인생샷을 찍을 수 있다고? | 서울시립대 홍보대사 이루미,22,985,1,9분 51초,2024-03-22 8:10,1,https://www.youtube.com/watch?v=MZQC2D3tl-c,1,
31,[대학생 옷 고민? 이 영상으로 끝내드립니다. | 서울시립대학교 홍보대사 이루미],26,2393,2,5분 0초,2024-03-08 5:00,1,https://www.youtube.com/watch?v=Cm8nUigDTtg,1,
32,[나는 개 강한 대학생이다 | 서울시립대학교 홍보대사 이루미],40,3192,4,4분 2초,2024-03-08 5:00,1,https://www.youtube.com/watch?v=6be6q41urAU,1,
33,시대 “갓생러”의 하루 근데 어딘가 조금 이상한... | 시대 인간극장 | SNS 홍보대사 시:선,28,1177,4,12분 23초,2024-02-29 13:48,1,https://www.youtube.com/watch?v=ZyBZYdmSdwU,1,
